year,yearRange,make,model,floorplan,field,currentValue
,2020-2026,airstream,bambi,16RB,sleeps,
,2020-2026,airstream,bambi,16RB,dryWeightLbs,
,2020-2026,airstream,bambi,16RB,fuelCapacityGal,
,2020-2026,airstream,bambi,16RB,propaneGal,
,2020-2026,airstream,bambi,16RB,waterHeaterGal,
,2020-2026,airstream,bambi,16RB,cargoLbs,
,2020-2026,airstream,bambi,16RB,garageLengthFt,
,2020-2026,airstream,bambi,16RB,garageWidthFt,
,2020-2026,airstream,bambi,16RB,garageHeightIn,
,2020-2026,airstream,bambi,16RB,garageCapacityLbs,
,2020-2026,airstream,bambi,16RB,rampPatioLbs,
,2020-2026,airstream,bambi,16RB,fuelStationGal,
,2020-2026,airstream,bambi,16RB,axles,
,2020-2026,airstream,bambi,16RB,tireSize,
,2020-2026,airstream,bambi,16RB,slideouts,
2027,,airstream,bambi,16RB,uvwLbs,
2027,,airstream,bambi,16RB,length,
2027,,airstream,bambi,16RB,exteriorHeightIn,
2027,,airstream,bambi,16RB,exteriorWidthIn,
2027,,airstream,bambi,16RB,interiorHeightIn,
2027,,airstream,bambi,16RB,sleeps,
2027,,airstream,bambi,16RB,dryWeightLbs,
2027,,airstream,bambi,16RB,hitchLbs,
2027,,airstream,bambi,16RB,fuelCapacityGal,
2027,,airstream,bambi,16RB,freshWater,
2027,,airstream,bambi,16RB,grayWater,
2027,,airstream,bambi,16RB,blackWater,
2027,,airstream,bambi,16RB,propaneLbs,
2027,,airstream,bambi,16RB,propaneGal,
2027,,airstream,bambi,16RB,waterHeaterGal,
2027,,airstream,bambi,16RB,cargoLbs,
2027,,airstream,bambi,16RB,garageLengthFt,
2027,,airstream,bambi,16RB,garageWidthFt,
2027,,airstream,bambi,16RB,garageHeightIn,
2027,,airstream,bambi,16RB,garageCapacityLbs,
2027,,airstream,bambi,16RB,rampPatioLbs,
2027,,airstream,bambi,16RB,fuelStationGal,
2027,,airstream,bambi,16RB,axles,
2027,,airstream,bambi,16RB,tireSize,
2027,,airstream,bambi,16RB,slideouts,
2027,,airstream,bambi,20FB,uvwLbs,
2027,,airstream,bambi,20FB,length,
2027,,airstream,bambi,20FB,exteriorHeightIn,
2027,,airstream,bambi,20FB,exteriorWidthIn,
2027,,airstream,bambi,20FB,interiorHeightIn,
2027,,airstream,bambi,20FB,sleeps,
2027,,airstream,bambi,20FB,dryWeightLbs,
2027,,airstream,bambi,20FB,hitchLbs,
2027,,airstream,bambi,20FB,fuelCapacityGal,
2027,,airstream,bambi,20FB,freshWater,
2027,,airstream,bambi,20FB,grayWater,
2027,,airstream,bambi,20FB,blackWater,
2027,,airstream,bambi,20FB,propaneLbs,
2027,,airstream,bambi,20FB,propaneGal,
2027,,airstream,bambi,20FB,waterHeaterGal,
2027,,airstream,bambi,20FB,cargoLbs,
2027,,airstream,bambi,20FB,garageLengthFt,
2027,,airstream,bambi,20FB,garageWidthFt,
2027,,airstream,bambi,20FB,garageHeightIn,
2027,,airstream,bambi,20FB,garageCapacityLbs,
2027,,airstream,bambi,20FB,rampPatioLbs,
2027,,airstream,bambi,20FB,fuelStationGal,
2027,,airstream,bambi,20FB,axles,
2027,,airstream,bambi,20FB,tireSize,
2027,,airstream,bambi,20FB,slideouts,
,2020-2026,airstream,bambi,22FB,sleeps,
,2020-2026,airstream,bambi,22FB,dryWeightLbs,
,2020-2026,airstream,bambi,22FB,fuelCapacityGal,
,2020-2026,airstream,bambi,22FB,propaneGal,
,2020-2026,airstream,bambi,22FB,waterHeaterGal,
,2020-2026,airstream,bambi,22FB,cargoLbs,
,2020-2026,airstream,bambi,22FB,garageLengthFt,
,2020-2026,airstream,bambi,22FB,garageWidthFt,
,2020-2026,airstream,bambi,22FB,garageHeightIn,
,2020-2026,airstream,bambi,22FB,garageCapacityLbs,
,2020-2026,airstream,bambi,22FB,rampPatioLbs,
,2020-2026,airstream,bambi,22FB,fuelStationGal,
,2020-2026,airstream,bambi,22FB,axles,
,2020-2026,airstream,bambi,22FB,tireSize,
,2020-2026,airstream,bambi,22FB,slideouts,
2027,,airstream,bambi,22FB,uvwLbs,
2027,,airstream,bambi,22FB,length,
2027,,airstream,bambi,22FB,exteriorHeightIn,
2027,,airstream,bambi,22FB,exteriorWidthIn,
2027,,airstream,bambi,22FB,interiorHeightIn,
2027,,airstream,bambi,22FB,sleeps,
2027,,airstream,bambi,22FB,dryWeightLbs,
2027,,airstream,bambi,22FB,hitchLbs,
2027,,airstream,bambi,22FB,fuelCapacityGal,
2027,,airstream,bambi,22FB,freshWater,
2027,,airstream,bambi,22FB,grayWater,
2027,,airstream,bambi,22FB,blackWater,
2027,,airstream,bambi,22FB,propaneLbs,
2027,,airstream,bambi,22FB,propaneGal,
2027,,airstream,bambi,22FB,waterHeaterGal,
2027,,airstream,bambi,22FB,cargoLbs,
2027,,airstream,bambi,22FB,garageLengthFt,
2027,,airstream,bambi,22FB,garageWidthFt,
2027,,airstream,bambi,22FB,garageHeightIn,
2027,,airstream,bambi,22FB,garageCapacityLbs,
2027,,airstream,bambi,22FB,rampPatioLbs,
2027,,airstream,bambi,22FB,fuelStationGal,
2027,,airstream,bambi,22FB,axles,
2027,,airstream,bambi,22FB,tireSize,
2027,,airstream,bambi,22FB,slideouts,
2027,,airstream,basecamp,20X,uvwLbs,
2027,,airstream,basecamp,20X,length,
