make,model,type,fuelType,engine,horsepower,torqueLbFt,chassis,transmission,yearStart,yearEnd,floorplanCount,floorplans,lengthMinFt,lengthMaxFt,weightMinLbs,weightMaxLbs,sleeps,slideouts,rating,engine2000_2005,horsepower2000_2005,engine2006_2015,horsepower2006_2015,engine2016_2026,horsepower2016_2026,freshWater,grayWater,blackWater,fuelCapacityGal,towingCapacity,generator
Airstream,Atlas,Class B,Diesel,Mercedes-Benz diesel (Sprinter),188,,Mercedes-Benz Sprinter,,2018,2026,4,24CE; 24GT; 24TE; Tommy Bahama,24,25,10500,12500,4,0,4.8,,,,,Mercedes-Benz diesel (Sprinter),188,30,24,24,,5000,None (solar + lithium common)
Airstream,Bambi,Travel Trailer,N/A (towable),,,,N/A (towable),,1961,2026,4,16RB; 19CB; 20FB; 22FB,16,22,2800,4500,4,0,4.8,,,,,,,23,18,18,,0,
Airstream,Basecamp,Travel Trailer,N/A (towable),,,,N/A (towable),,2016,2026,5,16; 16X; 20; 20X; 20XE,16,21,2500,3800,4,0,4.65,,,,,,,20,14,14,,0,
Airstream,Caravel,Travel Trailer,N/A (towable),,,,N/A (towable),,2017,2026,4,16RB; 19CB; 20FB; 22FB,16,22,3000,4800,4,0,4.75,,,,,,,23,18,18,,0,
Airstream,Classic,Travel Trailer,N/A (towable),,,,N/A (towable),,2000,2026,4,30RB; 30RBT; 33FB; 33FBT,30,33,7500,9000,4,0,4.9,,,,,,,40,30,30,,0,
Airstream,Flying Cloud,Travel Trailer,N/A (towable),,,,N/A (towable),,2000,2026,9,23FB; 23FBT; 25FB; 25FBQ; 25RB; 27FB; 27FBQ; 30FB; 30FBQ,23,30,5200,7800,6,0,4.8,,,,,,,36,26,26,,0,
Airstream,Globetrotter,Travel Trailer,N/A (towable),,,,N/A (towable),,2016,2026,4,23FB; 25FB; 27FB; 30RB,23,30,5500,8000,4,0,4.85,,,,,,,36,26,26,,0,
Airstream,International,Travel Trailer,N/A (towable),,,,N/A (towable),,2000,2026,5,23FB; 25FB; 27FB; 28RB; 30RB,23,30,5400,7800,4,0,4.75,,,,,,,36,26,26,,0,
Airstream,Interstate,Class B,Diesel,Mercedes-Benz diesel (Sprinter),188,,Mercedes-Benz Sprinter,,2005,2026,7,19; 24GL; 24GT; 24GT Twin; 24X; Grand Tour EXT; Tommy Bahama,19,25,9000,12000,4,0,4.75,Mercedes-Benz turbodiesel (Sprinter / early T1N–NCV3),154,Mercedes-Benz turbodiesel (Sprinter),188,Mercedes-Benz diesel (Sprinter),188,26,22,18,,5000,
Airstream,Rangeline,Class B,Gas / Diesel (by chassis),Ford Transit / Mercedes (by year),188,,Ford Transit / Mercedes Sprinter,,2022,2026,2,18R; 18RB,18,19,8000,9500,2,0,4.6,,,,,Ford Transit / Mercedes (by year),188,20,15,12,,3500,
Airstream,Trade Wind,Travel Trailer,N/A (towable),,,,N/A (towable),,2021,2026,3,25FB; 25FBQ; 28RB,25,28,5800,7200,4,0,4.7,,,,,,,36,26,26,,0,
Alliance RV,Avenue,Fifth Wheel,N/A (towable),,,,N/A (towable),,2020,2026,7,30RL; 32RLS; 33RLS; 36RLP; 37RLP; 42MLQ; 42MLO,30,42,10000,15500,6,3,4.75,,,,,,,74,74,46,,0,
Alliance RV,Benchmark,Travel Trailer,N/A (towable),,,,N/A (towable),,2023,2026,4,29BH; 32RL; 34BH; 37FL,29,38,7000,11000,8,2,4.6,,,,,,,54,40,35,,0,
Alliance RV,Delta,Fifth Wheel,N/A (towable),,,,N/A (towable),,2022,2026,4,282RK; 294RL; 312BH; 322BH,28,34,7500,11500,8,2,4.65,,,,,,,60,40,40,,0,
Alliance RV,Paradigm,Fifth Wheel,N/A (towable),,,,N/A (towable),,2020,2026,9,295MK; 310RL; 312RK; 340RL; 370FB; 372RK; 385FL; 390MP; 395MK,33,42,12000,17000,6,3,4.85,,,,,,,98,98,49,,0,
Alliance RV,Valor,Toy Hauler,N/A (towable),,,,N/A (towable),,2021,2026,6,36V11; 37V13; 40V13; 42V13; 4213; 4216,37,46,14000,18500,8,3,4.8,,,,,,,100,50,50,,0,Onan 5500W Gas (optional package)
Alliance RV,Valor V-Series,Toy Hauler,N/A (towable),,,,N/A (towable),,2022,2026,3,36V12; 37V11; 40V12,36,42,13000,17000,8,3,4.7,,,,,,,100,50,50,,0,Onan 5500W Gas (optional)
American Coach,American Dream,Class A Diesel,Diesel,Cummins L9 / X15 (by option),450,1250,Spartan K3 (typical high-line),Allison 3000/4000,2000,2026,3,42G; 45A; 45B,42,45,48000,58000,6,4,4.8,Cummins ISL / ISB diesel (era),350,Cummins ISL / ISB 300–450HP (era),380,Cummins L9 450 std / X15 605 opt,450,80,45,45,,15000,Onan Diesel / Gas
American Coach,American Eagle,Class A Diesel,Diesel,Cummins L9 / X15 (by option),450,1250,Spartan / Freightliner high-line,Allison 3000/4000,2000,2026,3,45B; 45J; 45N,45,45,46000,56000,6,4,4.75,Cummins ISL / ISB diesel (era),350,Cummins ISL / ISB 300–450HP (era),380,Cummins L9 / X15 (by option),450,80,45,45,,15000,Onan Diesel / Gas
American Coach,American Tradition,Class A Diesel,Diesel,Cummins L9 450HP,450,1250,Freightliner Liberty Bridge / modular,Allison 3000,2000,2026,5,42G; 42R; 45A; 42Q; 42V,42,45,42000,50000,6,4,4.7,Cummins ISL / ISB diesel (era),350,Cummins ISL / ISB 300–450HP (era),380,Cummins L9 450HP,450,100,60,40,150,15000,Onan 10kW Quiet Diesel
ATC,Game Changer,Toy Hauler,N/A (towable),,,,N/A,,2014,2026,5,2015; 2816; 2819; 3019; 4019,20,41,5000,12000,6,0,4.6,,,,,,,40,30,30,,0,Onan 2500–5500W (package dependent)
ATC,Game Changer Pro,Toy Hauler,N/A (towable),,,,N/A,,2018,2026,4,2819; 3019; 3519; 4019,28,42,7000,13000,6,0,4.6,,,,,,,45,30,30,,0,Onan 4000–5500W package
ATC,Quest,Toy Hauler,N/A (towable),,,,N/A,,2016,2026,4,14; 16; 20; 28,16,28,3500,7000,4,0,4.5,,,,,,,20,15,15,,0,Portable / prep
ATC,Toy Hauler 8.5,Toy Hauler,N/A (towable),,,,N/A,,2015,2026,4,20; 24; 28; 32,20,32,4500,8000,4,0,4.5,,,,,,,30,20,20,,0,Portable / optional Onan
ATC,TrailBoss,Toy Hauler,N/A (towable),,,,N/A,,2012,2026,3,28; 32; 36,28,36,7000,11000,6,0,4.5,,,,,,,40,28,28,,0,Onan 4000W Gas (optional)
Beaver Coach,Marquis,Class A Diesel,Diesel,Cummins ISL 400HP,400,,Roadmaster IS,,1994,2009,3,40QB; 43WB; 45BQ,40,45,44000,52000,6,4,4.7,Cummins ISL 400–450HP class,400,Cummins ISL 400–450HP class,400,,,100,55,50,,10000,Onan 10000W Diesel QD
Beaver Coach,Patriot,Class A Diesel,Diesel,Cummins ISL 380HP,380,,Roadmaster IS,,1993,2009,3,37QB; 38BG; 40RB,37,40,40000,48000,6,3,4.6,Cummins ISB / ISL mid-diesel (era),340,Cummins ISB / ISL mid-diesel (era),340,,,90,48,48,,10000,Onan 8000W Diesel QD
Brinkley,Model G,Toy Hauler,N/A (towable),,,,N/A (towable · triple 7k axles),,2023,2026,8,3250; 3500; 3520; 3950; 3970; 4000; 4100; 4120,38,46,16900,23000,8,3,4.8,,,,,,,150,156,85,,0,Generator prep / optional (shared fuel station)
Brinkley,Model T,Toy Hauler,N/A (towable),,,,N/A (towable · triple 7k axles),,2021,2026,8,3250; 3500; 3520; 3950; 3970; 4000; 4100; 4120,38,46,16900,23000,8,3,4.8,,,,,,,150,156,85,,0,Generator prep / optional (shared fuel station)
Brinkley,Model T Air,Toy Hauler,N/A (towable),,,,N/A (towable),,2023,2026,3,250; 280; 295,25,32,7000,11000,6,1,4.7,,,,,,,60,40,40,,0,Optional / prep
Brinkley,Model Z,Fifth Wheel,N/A (towable),,,,N/A (towable),,2020,2026,4,2900; 3100; 3500; 3700,29,40,9000,14000,6,3,4.75,,,,,,,75,50,50,,0,Optional / prep
Brinkley,Model Z Air,Fifth Wheel,N/A (towable),,,,N/A (towable),,2022,2026,4,250; 280; 295; 310,25,33,7500,11000,6,2,4.7,,,,,,,60,40,40,,0,Optional / prep
Brinkley,Model Z Expand,Fifth Wheel,N/A (towable),,,,N/A (towable),,2023,2026,3,3100; 3500; 3700,31,40,10000,15000,8,3,4.75,,,,,,,60,40,40,,0,Optional / prep
Coach House,Platinum,Class B+,Diesel,Mercedes-Benz turbodiesel (Sprinter),188,,Mercedes Sprinter,,2010,2026,4,220TB; 221; 241; 241XL,22,25,9500,12000,4,1,4.75,,,Mercedes-Benz turbodiesel (Sprinter),188,Mercedes-Benz turbodiesel (Sprinter),188,32,26,22,,5000,Solar packages common
Coach House,Platinum II,Class B+,Diesel,Mercedes-Benz 2.0L I4 turbodiesel ~211HP,188,,Mercedes-Benz Sprinter 3500,,2015,2026,7,240DQ; 240SQ; 240DRT; 240SRT; 241XL DQ; 241XL SQ; 241XL RQ,24,26,10000,12500,4,1,4.8,,,Mercedes-Benz 3.0L V6 turbodiesel ~188HP,188,Mercedes-Benz 2.0L I4 turbodiesel ~211HP,211,35,28,25,,5000,Onan / LP optional + solar packages
Coachmen,Adrenaline,Toy Hauler,N/A (towable),,,,N/A (towable),,2014,2026,3,23LT; 29SS; 33OT,26,36,6000,11000,8,1,4.2,,,,,,,55,32,32,,0,Generator prep / optional 4kW
Coachmen,Apex,Travel Trailer,N/A (towable),,,,N/A (towable),,2010,2026,5,213RDS; 245BHS; 249RBS; 251RBK; 288BHS,21,30,4000,6500,8,1,4.3,,,,,,,44,30,30,,0,
