RvFACTS Catalog Export — 2026-08-09T04:24:18Z
Makes: 50  Models: 363  Powertrain bands: 400

## ATC (5 models)
  - Game Changer: Toy Hauler | — | — | floors=5 | 2014-2026
  - Game Changer Pro: Toy Hauler | — | — | floors=4 | 2018-2026
  - Quest: Toy Hauler | — | — | floors=4 | 2016-2026
  - Toy Hauler 8.5: Toy Hauler | — | — | floors=4 | 2015-2026
  - TrailBoss: Toy Hauler | — | — | floors=3 | 2012-2026

## Airstream (11 models)
  - Atlas: Class B | Mercedes-Benz diesel (Sprinter) | 188HP | floors=4 | 2018-2026
  - Bambi: Travel Trailer | — | — | floors=4 | 1961-2026
  - Basecamp: Travel Trailer | — | — | floors=5 | 2016-2026
  - Caravel: Travel Trailer | — | — | floors=4 | 2017-2026
  - Classic: Travel Trailer | — | — | floors=4 | 2000-2026
  - Flying Cloud: Travel Trailer | — | — | floors=9 | 2000-2026
  - Globetrotter: Travel Trailer | — | — | floors=4 | 2016-2026
  - International: Travel Trailer | — | — | floors=5 | 2000-2026
  - Interstate: Class B | Mercedes-Benz diesel (Sprinter) | 188HP | floors=7 | 2005-2026
  - Rangeline: Class B | Ford Transit / Mercedes (by year) | 188HP | floors=2 | 2022-2026
  - Trade Wind: Travel Trailer | — | — | floors=3 | 2021-2026

## Alliance RV (6 models)
  - Avenue: Fifth Wheel | — | — | floors=7 | 2020-2026
  - Benchmark: Travel Trailer | — | — | floors=4 | 2023-2026
  - Delta: Fifth Wheel | — | — | floors=4 | 2022-2026
  - Paradigm: Fifth Wheel | — | — | floors=9 | 2020-2026
  - Valor: Toy Hauler | — | — | floors=6 | 2021-2026
  - Valor V-Series: Toy Hauler | — | — | floors=3 | 2022-2026

## American Coach (3 models)
  - American Dream: Class A Diesel | Cummins L9 / X15 (by option) | 450HP | floors=3 | 2000-2026
  - American Eagle: Class A Diesel | Cummins L9 / X15 (by option) | 450HP | floors=3 | 2000-2026
  - American Tradition: Class A Diesel | Cummins L9 450HP | 450HP | floors=5 | 2000-2026

## Beaver Coach (2 models)
  - Marquis: Class A Diesel | Cummins ISL 400HP | 400HP | floors=3 | 1994-2009
  - Patriot: Class A Diesel | Cummins ISL 380HP | 380HP | floors=3 | 1993-2009

## Brinkley (6 models)
  - Model G: Toy Hauler | — | — | floors=8 | 2023-2026
  - Model T: Toy Hauler | — | — | floors=8 | 2021-2026
  - Model T Air: Toy Hauler | — | — | floors=3 | 2023-2026
  - Model Z: Fifth Wheel | — | — | floors=4 | 2020-2026
  - Model Z Air: Fifth Wheel | — | — | floors=4 | 2022-2026
  - Model Z Expand: Fifth Wheel | — | — | floors=3 | 2023-2026

## Coach House (2 models)
  - Platinum: Class B+ | Mercedes-Benz turbodiesel (Sprinter) | 188HP | floors=4 | 2010-2026
  - Platinum II: Class B+ | Mercedes-Benz 2.0L I4 turbodiesel ~211HP | 188HP | floors=7 | 2015-2026

## Coachmen (19 models)
  - Adrenaline: Toy Hauler | — | — | floors=3 | 2014-2026
  - Apex: Travel Trailer | — | — | floors=5 | 2010-2026
  - Beyond: Class B | Ford Transit 3.5L EcoBoost | 310HP | floors=3 | 2018-2026
  - Brookstone: Fifth Wheel | — | — | floors=3 | 2012-2026
  - Catalina: Travel Trailer | — | — | floors=11 | 2010-2026
  - Chaparral: Fifth Wheel | — | — | floors=4 | 2008-2026
  - Concord: Class C | Ford 7.3L V8 | 350HP | floors=5 | 2010-2026
  - Encore: Class A Gas | Ford 7.3L Godzilla / V10 (by year) | 350HP | floors=4 | 2010-2026
  - Freedom Express: Travel Trailer | — | — | floors=10 | 2012-2026
  - Freelander: Class C | Ford 7.3L / 6.2L (by year) | 350HP | floors=9 | 2005-2026
  - Freelander LE: Class C | Ford 7.3L / 6.2L | 350HP | floors=6 | 2015-2026
  - Galleria: Class B | Mercedes-Benz diesel | 188HP | floors=4 | 2016-2026
  - Leprechaun: Class C | Ford 7.3L / Chevy 6.6L (by chassis) | 350HP | floors=11 | 2000-2026
  - Leprechaun Premier: Class C | Ford 7.3L V8 | 350HP | floors=6 | 2016-2026
  - Mirada: Class A Gas | Ford 7.3L / V10 (by year) | 350HP | floors=4 | 2007-2026
  - Prism: Class C | Mercedes-Benz 3.0L V6 / 2.0L I4 (by year) | 211HP | floors=6 | 2013-2026
  - Pursuit: Class A Gas | Ford 7.3L / V10 (by year) | 350HP | floors=4 | 2006-2026
  - Sportscoach: Class A Diesel | Cummins ISB / B6.7 ~340HP | 340HP | floors=4 | 2010-2026
  - Sportscoach SRS Super C: Super C | Ford Power Stroke 6.7L Diesel | 330HP | floors=4 | 2018-2026

## Country Coach (3 models)
  - Allure: Class A Diesel | Cummins ISL 450HP | 450HP | floors=3 | 1997-2009
  - Inspire: Class A Diesel | Cummins ISX 600HP | 600HP | floors=4 | 1998-2009
  - Intrigue: Class A Diesel | Cummins X15 605HP | 605HP | floors=4 | 1999-2009

## Crossroads (6 models)
  - Cameo: Fifth Wheel | — | — | floors=3 | 2005-2026
  - Cruiser Aire: Fifth Wheel | — | — | floors=3 | 2010-2026
  - Redwood: Fifth Wheel | — | — | floors=3 | 2012-2026
  - Sunset Trail: Travel Trailer | — | — | floors=3 | 2005-2026
