make,model,type,fuelType,engine,horsepower,chassis,yearStart,yearEnd,floorplanCount,lengthMinFt,lengthMaxFt,weightMinLbs,weightMaxLbs,sleeps,slideouts,rating
Airstream,Atlas,Class B,Diesel,Mercedes-Benz diesel (Sprinter),188,Mercedes-Benz Sprinter,2018,2026,4,24,25,10500,12500,4,0,4.8
Airstream,Bambi,Travel Trailer,N/A (towable),,,N/A (towable),1961,2026,4,16,22,2800,4500,4,0,4.8
Airstream,Basecamp,Travel Trailer,N/A (towable),,,N/A (towable),2016,2026,5,16,21,2500,3800,4,0,4.65
Airstream,Caravel,Travel Trailer,N/A (towable),,,N/A (towable),2017,2026,4,16,22,3000,4800,4,0,4.75
Airstream,Classic,Travel Trailer,N/A (towable),,,N/A (towable),2000,2026,4,30,33,7500,9000,4,0,4.9
Airstream,Flying Cloud,Travel Trailer,N/A (towable),,,N/A (towable),2000,2026,9,23,30,5200,7800,6,0,4.8
Airstream,Globetrotter,Travel Trailer,N/A (towable),,,N/A (towable),2016,2026,4,23,30,5500,8000,4,0,4.85
Airstream,International,Travel Trailer,N/A (towable),,,N/A (towable),2000,2026,5,23,30,5400,7800,4,0,4.75
Airstream,Interstate,Class B,Diesel,Mercedes-Benz diesel (Sprinter),188,Mercedes-Benz Sprinter,2005,2026,7,19,25,9000,12000,4,0,4.75
Airstream,Rangeline,Class B,Gas / Diesel (by chassis),Ford Transit / Mercedes (by year),188,Ford Transit / Mercedes Sprinter,2022,2026,2,18,19,8000,9500,2,0,4.6
Airstream,Trade Wind,Travel Trailer,N/A (towable),,,N/A (towable),2021,2026,3,25,28,5800,7200,4,0,4.7
Alliance RV,Avenue,Fifth Wheel,N/A (towable),,,N/A (towable),2020,2026,7,30,42,10000,15500,6,3,4.75
Alliance RV,Benchmark,Travel Trailer,N/A (towable),,,N/A (towable),2023,2026,4,29,38,7000,11000,8,2,4.6
Alliance RV,Delta,Fifth Wheel,N/A (towable),,,N/A (towable),2022,2026,4,28,34,7500,11500,8,2,4.65
Alliance RV,Paradigm,Fifth Wheel,N/A (towable),,,N/A (towable),2020,2026,9,33,42,12000,17000,6,3,4.85
Alliance RV,Valor,Toy Hauler,N/A (towable),,,N/A (towable),2021,2026,6,37,46,14000,18500,8,3,4.8
Alliance RV,Valor V-Series,Toy Hauler,N/A (towable),,,N/A (towable),2022,2026,3,36,42,13000,17000,8,3,4.7
American Coach,American Dream,Class A Diesel,Diesel,Cummins L9 / X15 (by option),450,Spartan K3 (typical high-line),2000,2026,3,42,45,48000,58000,6,4,4.8
American Coach,American Eagle,Class A Diesel,Diesel,Cummins L9 / X15 (by option),450,Spartan / Freightliner high-line,2000,2026,3,45,45,46000,56000,6,4,4.75
American Coach,American Tradition,Class A Diesel,Diesel,Cummins L9 450HP,450,Freightliner Liberty Bridge / modular,2000,2026,5,42,45,42000,50000,6,4,4.7
ATC,Game Changer,Toy Hauler,N/A (towable),,,N/A,2014,2026,5,20,41,5000,12000,6,0,4.6
ATC,Game Changer Pro,Toy Hauler,N/A (towable),,,N/A,2018,2026,4,28,42,7000,13000,6,0,4.6
ATC,Quest,Toy Hauler,N/A (towable),,,N/A,2016,2026,4,16,28,3500,7000,4,0,4.5
ATC,Toy Hauler 8.5,Toy Hauler,N/A (towable),,,N/A,2015,2026,4,20,32,4500,8000,4,0,4.5
ATC,TrailBoss,Toy Hauler,N/A (towable),,,N/A,2012,2026,3,28,36,7000,11000,6,0,4.5
