RvFACTS catalog powertrain — 2026-08-10T04:15:44Z
Makes 50 · Models 363

Motorized (yearEnd>=2016) engine / HP:
- Airstream Atlas: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Airstream Interstate: Mercedes-Benz diesel (Sprinter) | HP=188 | Diesel | Class B
- Airstream Rangeline: Ford Transit / Mercedes (by year) | HP=188 | Gas / Diesel (by chassis) | Class B
- American Coach American Dream: Cummins L9 / X15 (by option) | HP=450 | Diesel | Class A Diesel
- American Coach American Eagle: Cummins L9 / X15 (by option) | HP=450 | Diesel | Class A Diesel
- American Coach American Tradition: Cummins L9 450HP | HP=450 | Diesel | Class A Diesel
- Coach House Platinum: Mercedes-Benz turbodiesel (Sprinter) | HP=188 | Diesel | Class B+
- Coach House Platinum II: Mercedes-Benz 2.0L I4 turbodiesel ~211HP | HP=188 | Diesel | Class B+
- Coachmen Beyond: Ford Transit 3.5L EcoBoost | HP=310 | Gas | Class B
- Coachmen Concord: Ford 7.3L V8 | HP=350 | Gas | Class C
- Coachmen Encore: Ford 7.3L Godzilla / V10 (by year) | HP=350 | Gas | Class A Gas
- Coachmen Freelander: Ford 7.3L / 6.2L (by year) | HP=350 | Gas | Class C
- Coachmen Freelander LE: Ford 7.3L / 6.2L | HP=350 | Gas | Class C
- Coachmen Galleria: Mercedes-Benz diesel | HP=188 | Diesel | Class B
- Coachmen Leprechaun: Ford 7.3L / Chevy 6.6L (by chassis) | HP=350 | Gas | Class C
- Coachmen Leprechaun Premier: Ford 7.3L V8 | HP=350 | Gas | Class C
- Coachmen Mirada: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Coachmen Prism: Mercedes-Benz 3.0L V6 / 2.0L I4 (by year) | HP=211 | Diesel | Class C
- Coachmen Pursuit: Ford 7.3L / V10 (by year) | HP=350 | Gas | Class A Gas
- Coachmen Sportscoach: Cummins ISB / B6.7 ~340HP | HP=340 | Diesel | Class A Diesel
- Coachmen Sportscoach SRS Super C: Ford Power Stroke 6.7L Diesel | HP=330 | Diesel | Super C
- Dynamax DX3: Ford 6.7L Power Stroke Diesel | HP=330 | Diesel | Super C
- Dynamax DynaQuest: Ford 6.7L Power Stroke Diesel | HP=330 | Diesel | Super C
- Dynamax Europa: Ford 6.7L Power Stroke Diesel | HP=330 | Diesel | Super C
- Dynamax Force: Ford 6.7L Power Stroke Diesel | HP=330 | Diesel | Super C
