make,model,type,fuelType,from,to,engine,horsepower,torqueLbFt,chassis,notes
Airstream,Interstate,Class B,Diesel,2010,2015,Mercedes-Benz turbodiesel (Sprinter),188,,Mercedes-Benz Sprinter,Sprinter OM642 / era diesel ~188 HP class
Airstream,Interstate,Class B,Diesel,2005,2005,Mercedes-Benz turbodiesel (Sprinter / early T1N–NCV3),154,,Mercedes-Benz Sprinter,Early Sprinter era — ~154–188 HP by year
American Coach,American Dream,Class A Diesel,Diesel,2005,2009,Cummins ISL / ISB diesel (era),350,,Spartan K3 (typical high-line),2005–2009 diesel Class A — confirm build sheet (ISL/ISB/Cat by OEM)
American Coach,American Dream,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Spartan K3 (typical high-line),2010–2015 mid/high diesel Class A
American Coach,American Dream,Class A Diesel,Diesel,2016,2019,Cummins L9 / ISX class,450,,Spartan K3,
American Coach,American Dream,Class A Diesel,Diesel,2020,2026,Cummins L9 450 std / X15 605 opt,450,,Spartan K3,
American Coach,American Eagle,Class A Diesel,Diesel,2005,2009,Cummins ISL / ISB diesel (era),350,,Spartan / Freightliner high-line,2005–2009 diesel Class A — confirm build sheet (ISL/ISB/Cat by OEM)
American Coach,American Eagle,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Spartan / Freightliner high-line,2010–2015 mid/high diesel Class A
American Coach,American Eagle,Class A Diesel,Diesel,2016,2019,Cummins ISX / L9 class,450,,Spartan / Freightliner,
American Coach,American Eagle,Class A Diesel,Diesel,2020,2026,Cummins L9 / X15 (by option),450,,Spartan / Freightliner high-line,
American Coach,American Tradition,Class A Diesel,Diesel,2005,2009,Cummins ISL / ISB diesel (era),350,,Freightliner Liberty Bridge / modular,2005–2009 diesel Class A — confirm build sheet (ISL/ISB/Cat by OEM)
American Coach,American Tradition,Class A Diesel,Diesel,2010,2015,Cummins ISL / ISB 300–450HP (era),380,,Freightliner Liberty Bridge / modular,2010–2015 mid/high diesel Class A
American Coach,American Tradition,Class A Diesel,Diesel,2016,2018,Cummins ISL / L9 450HP,450,,Freightliner modular,
American Coach,American Tradition,Class A Diesel,Diesel,2019,2026,Cummins L9 450HP,450,1250,Freightliner Liberty Bridge,
Beaver Coach,Marquis,Class A Diesel,Diesel,2000,2009,Cummins ISL 400–450HP class,400,,Freightliner / Spartan (by option),High-line diesel 2006–2015 — ISL class (not Ford gas)
Beaver Coach,Patriot,Class A Diesel,Diesel,2000,2009,Cummins ISB / ISL mid-diesel (era),340,,Freightliner XC,"Mid diesel pusher 2006–2015 — not F53 gas, not modern L9 default"
Coach House,Platinum,Class B+,Diesel,2012,2015,Mercedes-Benz turbodiesel (Sprinter),188,,Mercedes-Benz Sprinter,Sprinter OM642 / era diesel ~188 HP class
Coach House,Platinum II,Class B+,Diesel,2015,2018,Mercedes-Benz 3.0L V6 turbodiesel ~188HP,188,,Mercedes Sprinter 3500,
Coach House,Platinum II,Class B+,Diesel,2019,2026,Mercedes-Benz 2.0L I4 turbodiesel ~211HP,211,,Mercedes Sprinter 3500,
Coachmen,Concord,Class C,Gas,2010,2015,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Coachmen,Encore,Class A Gas,Gas,2012,2015,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Coachmen,Freelander,Class C,Gas,2010,2015,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Coachmen,Freelander,Class C,Gas,2005,2005,Ford Triton V10 6.8L,305,,Ford E-450,2000–2005 Class C gas — Triton V10 (not 7.3 Godzilla)
Coachmen,Freelander LE,Class C,Gas,2015,2015,Ford Triton V10 6.8L,320,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Coachmen,Leprechaun,Class C,Gas,2010,2015,Ford Triton V10 6.8L (E-450 / F-53 cutaway era),305,,Ford E-450,Pre-Godzilla Class C — Triton V10 era (7.3 gas arrives ~2020)
Coachmen,Leprechaun,Class C,Gas,2000,2005,Ford Triton V10 6.8L,305,,Ford E-450,2000–2005 Class C gas — Triton V10 (not 7.3 Godzilla)
Coachmen,Mirada,Class A Gas,Gas,2010,2015,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Coachmen,Prism,Class C,Diesel,2013,2015,Mercedes-Benz 3.0L V6 turbodiesel (Sprinter),188,,Mercedes-Benz Sprinter,2006–2015 era powertrain for Coachmen Prism
Coachmen,Pursuit,Class A Gas,Gas,2010,2015,Ford Triton V10 6.8L,320,,Ford F53,2006–2015 gas Class A — Triton V10 (not 7.3 Godzilla)
Coachmen,Sportscoach,Class A Diesel,Diesel,2012,2015,Cummins ISB / ISL mid-diesel (era),340,,Freightliner XC,"Mid diesel pusher 2006–2015 — not F53 gas, not modern L9 default"
