make,model,type,fuelType,engine,topHorsepower,hasYearBands,bandCount,gaps,status
Newmar,Essex,Class A Diesel,Diesel,Cummins X15 605HP,605,True,2,,ok
Newmar,King Aire,Class A Diesel,Diesel,Cummins X15 605HP,605,True,4,,ok
Newmar,Mountain Aire,Class A Diesel,Diesel,Cummins L9 450HP / X12 500HP (by year/option),450,True,4,,ok
Newmar,Dutch Star,Class A Diesel,Diesel,Cummins L9 450HP,450,True,4,,ok
Newmar,New Aire,Class A Diesel,Diesel,Cummins B6.7 / L9 360–450HP,360,True,2,,ok
Newmar,Ventana,Class A Diesel,Diesel,Cummins B6.7 / L9 360–450HP,360,True,4,,ok
Newmar,Canyon Star,Super C,Diesel,Ford Power Stroke 6.7L / Cummins (by chassis year),330,True,3,,ok
Newmar,London Aire,Class A Diesel,Diesel,Cummins ISX 600HP,600,True,3,,ok
Newmar,Kountry Star,Class A Diesel,Diesel,Cummins B6.7 360HP,360,True,3,,ok
Newmar,Bay Star,Class A Gas,Gas,Ford 7.3L Godzilla / V10 6.8L (by year),350,True,3,,ok
Newmar,Bay Star Sport,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,True,3,,ok
Tiffin,Zephyr,Class A Diesel,Diesel,Cummins X12 / X15 500–605HP,500,True,4,,ok
Tiffin,Allegro Bus,Class A Diesel,Diesel,Cummins L9 450HP (X12/X15 options by year),450,True,4,,ok
Tiffin,Allegro Bus 45OPP,Class A Diesel,Diesel,Cummins L9 450HP (X12 optional),450,True,2,,ok
Tiffin,Phaeton,Class A Diesel,Diesel,Cummins L9 380HP,380,True,6,,ok
Tiffin,Allegro Red 340,Class A Diesel,Diesel,Cummins B6.7 360HP,360,True,2,,ok
Tiffin,Allegro Red 360,Class A Diesel,Diesel,Cummins L9 380–450HP,380,True,1,,ok
Tiffin,Allegro Red,Class A Diesel,Diesel,Cummins ISB 6.7L 360HP,360,True,2,,ok
Tiffin,Allegro Breeze,Class A Diesel,Diesel,Cummins ISB / B6.7 340HP,340,True,3,,ok
Tiffin,Open Road,Class A Gas,Gas,Ford 7.3L Godzilla / V10 (by year),350,True,3,,ok
Tiffin,Wayfarer,Class C,Diesel,Mercedes-Benz turbodiesel (Sprinter),188,True,2,,ok
Tiffin,Wayfarer 25,Class C,Diesel,Mercedes-Benz turbodiesel,188,True,1,,ok
Tiffin,Cahaba,Class C,Diesel,Mercedes-Benz 2.0L turbodiesel,208,True,1,,ok
Tiffin,Allegro,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,True,3,,ok
Thor,Tuscany,Class A Diesel,Diesel,Cummins L9 / ISX (by year),450,True,4,,ok
Thor,Palazzo,Class A Diesel,Diesel,Cummins B6.7 / L9 340–450HP,340,True,3,,ok
Thor,Aria,Class A Diesel,Diesel,Cummins B6.7 / L9 340–450HP,340,True,2,,ok
Thor,ACE,Class A Gas,Gas,Ford 7.3L Godzilla / V10 (by year),350,True,3,,ok
Thor,Windsport,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,True,3,,ok
Thor,Challenger,Class A Gas,Gas,Ford 7.3L / V10 (by year),350,True,3,,ok
Thor,Magnitude,Super C,Diesel,Ford Power Stroke 6.7L Diesel,330,True,2,,ok
Thor,Magnitude XG,Super C,Diesel,Ford Power Stroke 6.7L Diesel,330,True,1,,ok
